Sample,Method,MAPQ,Count,Percent
8168,normalinput,7,739777,0.30814927894950667
8168,normalinput,8,616334,0.2567299033250091
8168,normalinput,9,639852,0.26652617266338335
8168,normalinput,10,416139,0.17333998325545233
8168,normalinput,11,357756,0.1490209258193479
8168,normalinput,12,429705,0.17899081197576808
8168,normalinput,13,532324,0.2217360863713216
8168,normalinput,14,367210,0.1529589277891153
8168,normalinput,15,623416,0.25967986418283573
8168,normalinput,16,486158,0.20250594051387685
8168,normalinput,17,503393,0.2096850672273253
8168,normalinput,18,462905,0.19282005519517556
8168,normalinput,19,602838,0.2511082326476259
8168,normalinput,20,509531,0.21224181104903383
8168,normalinput,21,647398,0.2696694096915053
8168,normalinput,22,791369,0.3296395896776896
8168,normalinput,23,473626,0.19728581774202097
8168,normalinput,24,654765,0.2727380854384142
8168,normalinput,25,1061926,0.44233834141604
8168,normalinput,26,179537,0.07478496505670977
8168,normalinput,27,1854735,0.7725777536911979
8168,normalinput,28,252352,0.10511557785855186
8168,normalinput,29,212197,0.08838927480206667
8168,normalinput,30,438782,0.18277177705717054
8168,normalinput,31,354487,0.1476592452144008
8168,normalinput,32,286188,0.11920974272517451
8168,normalinput,33,427286,0.17798319332071544
8168,normalinput,34,206598,0.08605704791093828
8168,normalinput,35,204297,0.08509858138540043
8168,normalinput,36,250385,0.10429623685214899
8168,normalinput,37,378441,0.15763712750589742
8168,normalinput,38,136148,0.056711560416743745
8168,normalinput,39,568370,0.2367508123076699
8168,normalinput,40,6608646,2.752788339908569
8168,normalinput,41,432060,0.179971771848711
8168,normalinput,42,298728,0.12443319784479409
8168,normalinput,43,682507,0.28429383439602873
8168,normalinput,44,362025,0.15079914989475904
